expiration,strike,option_type,bid,ask,last,volume
2025-06-25,10.0,call,9.1,13.35,11.0,1.0
2025-06-25,11.0,call,8.1,12.35,8.2,1.0
2025-06-25,11.5,call,7.6,11.85,10.23,1.0
2025-06-25,12.0,call,7.1,11.35,9.68,2.0
2025-06-25,12.5,call,8.65,9.0,8.45,1.0
2025-06-25,13.5,call,7.65,8.0,6.45,
2025-06-25,14.0,call,7.05,7.4,6.85,31.0
2025-06-25,14.5,call,6.8,7.02,6.45,193.0
2025-06-25,15.0,call,6.15,6.44,6.31,15.0
2025-06-25,16.0,call,5.2,5.55,4.45,2.0
2025-06-25,17.0,call,4.3,4.38,3.6,36.0
2025-06-25,18.0,call,3.2,3.55,3.0,496.0
2025-06-25,19.0,call,2.49,2.5,2.5,286.0
2025-06-25,20.0,call,1.66,1.8,1.74,1855.0
2025-06-25,21.0,call,1.3,1.4,1.34,1246.0
2025-06-25,22.0,call,0.94,1.0,0.97,812.0
2025-06-25,23.0,call,0.69,0.78,0.66,394.0
2025-06-25,24.0,call,0.56,0.7,0.57,544.0
2025-06-25,25.0,call,0.49,0.59,0.55,740.0
2025-06-25,26.0,call,0.41,0.53,0.45,21.0
2025-06-25,27.0,call,0.34,0.46,0.27,25.0
2025-06-25,28.0,call,0.3,0.39,0.28,579.0
2025-06-25,29.0,call,0.26,0.34,0.28,47.0
2025-06-25,30.0,call,0.24,0.3,0.25,1425.0
2025-06-25,31.0,call,0.19,0.27,0.17,65.0
2025-06-25,32.0,call,0.18,0.26,0.16,4.0
2025-06-25,33.0,call,0.15,0.24,0.17,15.0
2025-06-25,34.0,call,0.13,0.2,0.14,33.0
2025-06-25,35.0,call,0.13,0.19,0.08,142.0
2025-06-25,36.0,call,0.09,0.17,0.08,8.0
2025-06-25,37.0,call,0.08,0.12,0.1,7.0
2025-06-25,38.0,call,0.08,0.14,0.08,51.0
2025-06-25,39.0,call,0.07,0.15,0.19,1.0
2025-06-25,40.0,call,0.06,0.1,0.08,286.0
2025-06-25,42.5,call,0.05,0.1,0.05,35.0
2025-06-25,45.0,call,0.03,0.1,0.05,58.0
2025-06-25,47.5,call,0.03,0.08,0.05,1.0
2025-06-25,50.0,call,0.03,0.08,0.05,29.0
2025-06-25,55.0,call,0.01,0.07,0.03,67.0
2025-06-25,60.0,call,0.01,0.03,0.02,107.0
2025-06-25,65.0,call,0.0,0.06,0.03,9.0
2025-06-25,70.0,call,0.0,0.06,0.05,11.0
2025-06-25,75.0,call,0.0,0.06,0.03,1.0
2025-06-25,80.0,call,0.0,0.06,0.01,9.0
2025-06-25,85.0,call,0.0,0.05,0.02,2.0
2025-06-25,90.0,call,0.0,0.04,0.04,1.0
2025-06-25,100.0,call,0.0,0.05,0.05,4.0
2025-06-25,10.0,put,0.0,0.01,0.01,1.0
2025-06-25,11.5,put,0.0,0.01,0.01,6.0
2025-06-25,12.0,put,0.0,0.01,0.01,2.0
2025-06-25,13.0,put,0.0,0.04,0.01,1.0
2025-06-25,13.5,put,0.0,0.04,0.01,1.0
2025-06-25,14.0,put,0.0,0.02,0.01,10.0
2025-06-25,14.5,put,0.0,0.02,0.02,7.0
2025-06-25,15.0,put,0.0,0.02,0.02,61.0
2025-06-25,16.0,put,0.01,0.03,0.02,6.0
2025-06-25,17.0,put,0.02,0.03,0.03,51.0
2025-06-25,18.0,put,0.06,0.13,0.1,2477.0
2025-06-25,19.0,put,0.2,0.27,0.24,330.0
2025-06-25,20.0,put,0.5,0.64,0.6,320.0
2025-06-25,21.0,put,1.0,1.16,1.1,23.0
2025-06-25,22.0,put,1.58,1.89,1.99,4.0
2025-06-25,23.0,put,2.32,2.63,2.93,2.0
2025-06-25,24.0,put,3.19,3.49,4.15,3.0
2025-06-25,25.0,put,4.03,4.42,5.05,1.0
2025-06-25,26.0,put,4.91,5.29,6.2,4.0
2025-06-25,27.0,put,6.0,6.31,7.0,1.0
2025-06-25,28.0,put,6.83,7.15,7.65,1.0
2025-06-25,29.0,put,7.8,8.14,7.69,1.0
2025-06-25,30.0,put,8.75,9.05,9.9,10.0
2025-06-25,31.0,put,9.7,10.05,10.52,30.0
2025-06-25,32.0,put,10.8,11.05,11.42,4.0
2025-06-25,33.0,put,11.7,12.0,12.6,1.0
2025-06-25,34.0,put,12.63,13.0,13.85,4.0
2025-06-25,35.0,put,13.65,14.0,14.8,4.0
2025-06-25,36.0,put,14.69,15.0,16.2,
2025-06-25,37.0,put,15.6,15.95,16.4,
2025-06-25,40.0,put,18.51,18.8,20.1,5.0
2025-06-25,60.0,put,39.8,40.1,38.83,
2025-06-25,70.0,put,48.45,48.8,51.55,
2025-06-25,75.0,put,53.49,53.8,56.45,
2025-07-02,12.0,call,7.1,11.35,9.64,3.0
2025-07-02,13.5,call,8.05,8.7,6.4,
2025-07-02,14.5,call,7.0,7.65,5.25,40.0
2025-07-02,15.0,call,6.61,7.14,6.55,10.0
2025-07-02,16.0,call,5.66,6.12,5.04,11.0
2025-07-02,17.0,call,4.6,5.14,4.5,82.0
2025-07-02,18.0,call,3.76,4.0,3.7,6.0
2025-07-02,19.0,call,3.12,3.3,3.3,49.0
2025-07-02,20.0,call,2.52,2.6,2.5,791.0
2025-07-02,21.0,call,1.94,2.15,1.93,191.0
2025-07-02,22.0,call,1.69,1.95,1.75,780.0
2025-07-02,23.0,call,1.36,1.55,1.39,560.0
2025-07-02,24.0,call,1.2,1.39,1.25,39.0
2025-07-02,25.0,call,1.2,1.25,1.2,513.0
2025-07-02,26.0,call,0.91,1.16,0.98,28.0
2025-07-02,27.0,call,0.85,1.04,0.88,29.0
2025-07-02,28.0,call,0.77,0.9,0.78,22.0
2025-07-02,29.0,call,0.69,0.81,0.7,2.0
2025-07-02,30.0,call,0.62,0.79,0.62,131.0
2025-07-02,31.0,call,0.6,0.72,0.55,1.0
2025-07-02,32.0,call,0.55,0.71,0.47,1.0
2025-07-02,33.0,call,0.51,0.62,0.51,1.0
2025-07-02,34.0,call,0.46,0.6,0.24,1.0
2025-07-02,35.0,call,0.42,0.48,0.38,18.0
2025-07-02,36.0,call,0.39,0.5,0.43,22.0
2025-07-02,37.0,call,0.36,0.5,0.33,1.0
2025-07-02,38.0,call,0.34,0.43,0.43,1.0
2025-07-02,39.0,call,0.31,0.45,0.35,1.0
2025-07-02,40.0,call,0.3,0.42,0.3,25.0
2025-07-02,42.5,call,0.25,0.37,0.5,51.0
2025-07-02,45.0,call,0.23,0.33,0.29,10.0
2025-07-02,47.5,call,0.19,0.3,0.2,6.0
2025-07-02,50.0,call,0.17,0.26,0.21,40.0
2025-07-02,55.0,call,0.12,0.21,0.15,1.0
2025-07-02,60.0,call,0.09,0.17,0.07,2.0
2025-07-02,65.0,call,0.07,0.14,0.12,2.0
2025-07-02,70.0,call,0.05,0.12,0.05,2.0
2025-07-02,75.0,call,0.03,0.05,0.05,7.0
2025-07-02,85.0,call,0.01,0.05,0.04,1.0
2025-07-02,90.0,call,0.0,0.05,0.05,1.0
2025-07-02,100.0,call,0.0,0.05,0.05,
2025-07-02,12.0,put,0.0,0.02,0.01,10.0
2025-07-02,13.5,put,0.0,0.03,0.03,10.0
2025-07-02,14.0,put,0.0,0.03,0.03,
2025-07-02,14.5,put,0.01,0.04,0.04,2.0
2025-07-02,15.0,put,0.02,0.04,0.04,41.0
2025-07-02,16.0,put,0.05,0.07,0.06,105.0
2025-07-02,17.0,put,0.06,0.12,0.08,159.0
2025-07-02,18.0,put,0.18,0.27,0.25,144.0
2025-07-02,19.0,put,0.45,0.54,0.52,84.0
2025-07-02,20.0,put,0.8,0.92,0.95,81.0
2025-07-02,21.0,put,1.21,1.48,1.55,6.0
2025-07-02,22.0,put,1.95,2.12,2.0,31.0
2025-07-02,23.0,put,2.55,2.87,3.1,20.0
2025-07-02,24.0,put,3.31,3.74,4.04,1.0
2025-07-02,25.0,put,4.11,4.49,4.9,6.0
2025-07-02,27.0,put,5.91,6.29,8.17,20.0
2025-07-02,28.0,put,6.71,7.19,8.75,10.0
2025-07-02,29.0,put,7.71,8.14,8.8,24.0
2025-07-02,30.0,put,8.66,9.1,9.28,46.0
2025-07-02,31.0,put,9.6,10.2,10.42,30.0
2025-07-02,34.0,put,12.35,12.95,14.18,22.0
2025-07-02,40.0,put,18.15,18.75,19.19,
2025-07-02,50.0,put,28.05,28.6,29.03,
2025-07-02,90.0,put,67.85,68.45,70.67,
2025-07-02,95.0,put,72.85,73.55,75.65,
2025-07-02,100.0,put,77.6,78.4,80.65,
2025-07-09,10.0,call,8.7,13.15,11.1,1.0
2025-07-09,12.0,call,6.7,11.15,10.0,
2025-07-09,13.0,call,5.7,10.15,6.59,
2025-07-09,14.5,call,4.7,8.35,7.0,5.0
2025-07-09,15.0,call,4.81,6.9,8.4,5.0
2025-07-09,16.0,call,4.26,6.19,4.9,41.0
2025-07-09,17.0,call,3.37,5.24,4.75,4.0
2025-07-09,18.0,call,2.81,4.43,3.7,6.0
2025-07-09,19.0,call,2.51,3.64,3.0,6.0
2025-07-09,20.0,call,2.11,2.97,2.45,430.0
2025-07-09,21.0,call,1.77,2.3,1.99,349.0
2025-07-09,22.0,call,1.51,2.11,1.75,124.0
2025-07-09,23.0,call,1.4,1.74,1.6,123.0
2025-07-09,24.0,call,1.2,1.51,1.4,95.0
2025-07-09,25.0,call,1.07,1.24,1.14,212.0
2025-07-09,26.0,call,0.81,1.27,1.1,18.0
2025-07-09,27.0,call,0.86,1.24,0.95,15.0
2025-07-09,28.0,call,0.62,1.04,0.9,3.0
2025-07-09,29.0,call,0.56,0.85,0.77,4.0
2025-07-09,30.0,call,0.63,0.77,0.68,771.0
2025-07-09,31.0,call,0.56,0.93,0.64,7.0
2025-07-09,32.0,call,0.44,0.68,0.69,20.0
2025-07-09,33.0,call,0.42,0.79,0.77,1.0
2025-07-09,34.0,call,0.41,0.61,0.55,5.0
2025-07-09,35.0,call,0.32,0.51,0.44,49.0
2025-07-09,36.0,call,0.34,0.65,0.44,1.0
2025-07-09,37.0,call,0.33,0.59,0.38,20.0
2025-07-09,39.0,call,0.29,0.54,0.42,1.0
2025-07-09,40.0,call,0.29,0.55,0.49,8.0
2025-07-09,42.5,call,0.25,0.46,0.45,1.0
2025-07-09,45.0,call,0.22,0.41,0.3,2.0
2025-07-09,47.5,call,0.2,0.39,0.25,24.0
2025-07-09,50.0,call,0.17,0.35,0.23,12.0
2025-07-09,55.0,call,0.14,0.29,0.27,1.0
2025-07-09,60.0,call,0.1,0.25,0.15,11.0
2025-07-09,65.0,call,0.08,0.22,0.1,1.0
2025-07-09,70.0,call,0.06,0.19,0.19,20.0
2025-07-09,75.0,call,0.05,0.16,0.12,2.0
2025-07-09,80.0,call,0.03,0.15,0.12,2.0
2025-07-09,85.0,call,0.03,0.13,0.1,20.0
2025-07-09,90.0,call,0.02,0.12,0.1,20.0
2025-07-09,95.0,call,0.01,0.11,0.1,20.0
2025-07-09,100.0,call,0.01,0.1,0.05,2.0
2025-07-09,12.0,put,0.0,0.04,0.02,
2025-07-09,13.5,put,0.0,0.05,0.03,1.0
2025-07-09,14.0,put,0.01,0.06,0.04,50.0
2025-07-09,15.0,put,0.02,0.07,0.05,10.0
2025-07-09,16.0,put,0.02,0.15,0.11,1.0
2025-07-09,17.0,put,0.09,0.28,0.27,26.0
2025-07-09,18.0,put,0.46,0.5,0.4,6.0
2025-07-09,19.0,put,0.8,1.09,0.92,26.0
2025-07-09,20.0,put,1.02,1.64,1.4,20.0
2025-07-09,21.0,put,1.6,2.05,2.0,6.0
2025-07-09,22.0,put,2.13,3.19,2.93,10.0
2025-07-09,23.0,put,2.8,4.04,2.92,5.0
2025-07-09,24.0,put,3.61,4.84,4.9,
2025-07-09,25.0,put,4.51,5.79,5.28,5.0
2025-07-16,10.0,call,11.25,11.4,10.45,25.0
2025-07-16,10.5,call,10.75,10.85,10.65,1.0
2025-07-16,11.0,call,10.15,10.25,9.72,2.0
2025-07-16,11.5,call,9.55,9.75,14.05,2.0
2025-07-16,12.0,call,9.2,9.3,8.72,2.0
2025-07-16,12.5,call,8.7,8.8,8.37,1.0
2025-07-16,13.0,call,8.2,8.4,7.69,856.0
2025-07-16,13.5,call,7.75,7.9,7.25,1.0
2025-07-16,14.0,call,7.25,7.4,6.77,1.0
2025-07-16,14.5,call,6.8,6.95,6.3,1.0
2025-07-16,15.0,call,6.3,6.45,6.02,19.0
2025-07-16,15.5,call,5.8,5.9,5.65,1.0
2025-07-16,16.0,call,5.4,5.55,5.0,100.0
2025-07-16,16.5,call,4.95,5.1,4.75,56.0
2025-07-16,17.0,call,4.5,4.65,4.5,328.0
2025-07-16,17.5,call,4.2,4.3,4.05,33.0
2025-07-16,18.0,call,3.85,3.95,3.8,929.0
2025-07-16,18.5,call,3.55,3.7,3.6,54.0
2025-07-16,19.0,call,3.3,3.4,3.27,654.0
2025-07-16,19.5,call,3.0,3.05,3.05,133.0
2025-07-16,20.0,call,2.84,2.89,2.85,1835.0
2025-07-16,20.5,call,2.65,2.73,2.7,2441.0
2025-07-16,21.0,call,2.5,2.56,2.47,6102.0
2025-07-16,21.5,call,2.32,2.38,2.19,2349.0
2025-07-16,22.0,call,2.18,2.23,2.2,2564.0
2025-07-16,22.5,call,2.09,2.13,2.1,738.0
2025-07-16,23.0,call,1.97,2.02,1.97,457.0
2025-07-16,23.5,call,1.84,1.88,1.83,239.0
2025-07-16,24.0,call,1.77,1.81,1.73,1165.0
2025-07-16,24.5,call,1.68,1.72,1.63,258.0
2025-07-16,25.0,call,1.58,1.6,1.58,13576.0
2025-07-16,26.0,call,1.43,1.48,1.35,549.0
2025-07-16,27.0,call,1.28,1.34,1.24,2013.0
2025-07-16,28.0,call,1.19,1.24,1.17,7579.0
2025-07-16,29.0,call,1.1,1.15,1.08,2712.0
2025-07-16,30.0,call,1.03,1.05,1.01,9111.0
2025-07-16,31.0,call,0.95,1.01,0.93,367.0
2025-07-16,32.0,call,0.86,0.92,0.84,573.0
2025-07-16,33.0,call,0.82,0.86,0.83,210.0
2025-07-16,34.0,call,0.78,0.82,0.7,1263.0
2025-07-16,35.0,call,0.74,0.79,0.73,17952.0
2025-07-16,36.0,call,0.69,0.72,0.67,495.0
2025-07-16,37.0,call,0.67,0.71,0.66,601.0
2025-07-16,38.0,call,0.63,0.67,0.63,566.0
2025-07-16,39.0,call,0.61,0.64,0.56,2016.0
2025-07-16,40.0,call,0.57,0.59,0.59,4957.0
2025-07-16,42.5,call,0.52,0.56,0.47,6283.0
2025-07-16,45.0,call,0.45,0.48,0.46,5269.0
2025-07-16,47.5,call,0.42,0.45,0.32,6.0
2025-07-16,50.0,call,0.37,0.41,0.38,4702.0
2025-07-16,55.0,call,0.31,0.33,0.28,2244.0
2025-07-16,60.0,call,0.24,0.28,0.22,5780.0
2025-07-16,65.0,call,0.2,0.23,0.19,97.0
2025-07-16,70.0,call,0.16,0.2,0.19,19.0
2025-07-16,75.0,call,0.14,0.17,0.12,2.0
2025-07-16,80.0,call,0.12,0.15,0.12,2588.0
2025-07-16,85.0,call,0.1,0.14,0.11,108.0
2025-07-16,90.0,call,0.08,0.11,0.09,1.0
2025-07-16,95.0,call,0.07,0.1,0.12,1.0
2025-07-16,100.0,call,0.05,0.09,0.06,20.0
2025-07-16,110.0,call,0.04,0.07,0.06,12.0
2025-07-16,120.0,call,0.02,0.05,0.04,51.0
2025-07-16,130.0,call,0.01,0.05,0.04,1.0
2025-07-16,140.0,call,0.01,0.04,0.04,1.0
2025-07-16,150.0,call,0.0,0.04,0.05,1.0
2025-07-16,160.0,call,0.0,0.04,0.02,93.0
2025-07-16,180.0,call,0.0,0.03,0.02,2.0
2025-07-16,190.0,call,0.0,0.03,0.03,50.0
2025-07-16,200.0,call,0.0,0.03,0.02,151.0
2025-07-16,10.0,put,0.0,0.01,0.01,5.0
2025-07-16,10.5,put,0.0,0.08,0.02,3.0
2025-07-16,11.0,put,0.0,0.02,0.01,1.0
2025-07-16,11.5,put,0.0,0.07,0.12,10.0
2025-07-16,12.0,put,0.0,0.02,0.01,13.0
2025-07-16,12.5,put,0.0,0.05,0.03,2.0
2025-07-16,13.0,put,0.0,0.02,0.01,50.0
2025-07-16,13.5,put,0.01,0.03,0.01,2.0
2025-07-16,14.0,put,0.01,0.02,0.01,27.0
2025-07-16,14.5,put,0.01,0.05,0.04,206.0
2025-07-16,15.0,put,0.04,0.06,0.05,1202.0
2025-07-16,15.5,put,0.06,0.1,0.08,53.0
2025-07-16,16.0,put,0.11,0.14,0.13,10304.0
2025-07-16,16.5,put,0.18,0.21,0.23,1441.0
2025-07-16,17.0,put,0.28,0.31,0.31,25958.0
2025-07-16,17.5,put,0.41,0.45,0.44,1017.0
2025-07-16,18.0,put,0.56,0.61,0.63,4883.0
2025-07-16,18.5,put,0.77,0.8,0.84,1613.0
2025-07-16,19.0,put,0.99,1.03,1.01,31344.0
2025-07-16,19.5,put,1.25,1.3,1.33,43.0
2025-07-16,20.0,put,1.52,1.57,1.65,1130.0
2025-07-16,20.5,put,1.82,1.88,1.98,10246.0
2025-07-16,21.0,put,2.15,2.2,2.3,6189.0
2025-07-16,21.5,put,2.51,2.57,2.52,15006.0
2025-07-16,22.0,put,2.85,2.91,3.1,60.0
2025-07-16,22.5,put,3.2,3.35,3.35,19.0
2025-07-16,23.0,put,3.65,3.75,3.95,9.0
2025-07-16,23.5,put,4.0,4.1,4.15,1102.0
2025-07-16,24.0,put,4.4,4.5,4.7,381.0
2025-07-16,24.5,put,4.85,4.95,5.15,347.0
2025-07-16,25.0,put,5.2,5.35,5.3,483.0
2025-07-16,26.0,put,6.05,6.2,6.16,36.0
2025-07-16,27.0,put,6.9,7.0,7.3,10.0
2025-07-16,28.0,put,7.8,7.9,8.2,12.0
2025-07-16,29.0,put,8.8,8.9,9.0,200.0
2025-07-16,30.0,put,9.6,9.7,10.1,15.0
2025-07-16,31.0,put,10.55,10.7,10.9,3.0
2025-07-16,32.0,put,11.55,11.65,11.95,29.0
2025-07-16,33.0,put,12.45,12.55,13.1,1.0
2025-07-16,34.0,put,13.35,13.5,13.73,3.0
2025-07-16,35.0,put,14.35,14.45,14.15,13.0
2025-07-16,36.0,put,15.25,15.4,15.8,1.0
2025-07-16,37.0,put,16.2,16.35,16.1,1.0
2025-07-16,38.0,put,17.2,17.3,17.95,2.0
2025-07-16,39.0,put,18.15,18.3,18.91,1.0
2025-07-16,40.0,put,19.15,19.3,19.5,220.0
2025-07-16,42.5,put,21.6,21.7,22.5,12.0
2025-07-16,45.0,put,24.05,24.15,25.7,1.0
2025-07-16,47.5,put,26.45,26.6,27.5,1.0
2025-07-16,50.0,put,28.9,29.05,28.95,4.0
2025-07-16,55.0,put,33.9,34.0,35.0,52.0
2025-07-16,60.0,put,38.8,38.9,39.05,7.0
2025-07-16,65.0,put,43.7,43.85,44.24,20.0
2025-07-16,70.0,put,48.65,48.8,49.1,
2025-07-16,75.0,put,53.6,53.8,54.95,
2025-07-16,80.0,put,58.65,58.75,58.97,1.0
2025-07-16,100.0,put,78.45,78.6,78.78,7.0
2025-07-16,130.0,put,0.0,0.0,108.55,1.0
2025-07-16,150.0,put,128.35,128.45,128.3,157.0
2025-07-16,200.0,put,178.05,178.2,179.6,1.0
2025-07-23,15.0,call,6.12,6.53,6.0,5.0
2025-07-23,18.0,call,3.76,4.18,4.14,24.0
2025-07-23,19.0,call,3.17,3.44,3.35,60.0
2025-07-23,20.0,call,2.77,2.99,2.99,191.0
2025-07-23,21.0,call,2.4,2.64,2.55,741.0
2025-07-23,22.0,call,2.14,2.35,2.25,29.0
2025-07-23,23.0,call,1.88,2.03,1.95,84.0
2025-07-23,24.0,call,1.71,1.84,1.83,76.0
2025-07-23,25.0,call,1.53,1.81,1.59,141.0
2025-07-23,26.0,call,1.39,1.67,1.39,10.0
2025-07-23,28.0,call,1.17,1.3,1.4,6.0
2025-07-23,29.0,call,1.07,1.2,1.1,3.0
2025-07-23,30.0,call,1.05,1.1,1.03,24.0
2025-07-23,31.0,call,0.92,1.04,1.0,11.0
2025-07-23,33.0,call,0.81,0.91,0.82,29.0
2025-07-23,35.0,call,0.73,0.91,0.68,16.0
